identifiantStation;nomStation;codeLigne;sensLigne;heureEstimeeDepart;dateModification;cleModification;cleTri
TRANSPOLE:StopPointRef:BP:2757:LOC;LILLE EUROPE;TRAM;TOURCOING CENTRE;2022-03-10T18:58:23+01:00;2022-03-10T18:30:00+01:00;TRANSPOLE:ItemId::268444503:LOC;TOURCOING CENTRE/LILLE EUROPE/2022-03-10T18:58:23.000+01:00
TRANSPOLE:StopPointRef:BP:2757:LOC;LILLE EUROPE;TRAM;TOURCOING CENTRE;2022-03-10T19:09:23+01:00;2022-03-10T18:29:55+01:00;TRANSPOLE:ItemId::268444934:LOC;TOURCOING CENTRE/LILLE EUROPE/2022-03-10T19:09:23.000+01:00
TRANSPOLE:StopPointRef:BP:1837:LOC;LILLE FLANDRES;TRAM;TOURCOING CENTRE;2022-03-10T18:57:00+01:00;2022-03-10T18:48:10+01:00;TRANSPOLE:ItemId::268444502:LOC;TOURCOING CENTRE/LILLE FLANDRES/2022-03-10T18:57:00.000+01:00
TRANSPOLE:StopPointRef:BP:1837:LOC;LILLE FLANDRES;TRAM;TOURCOING CENTRE;2022-03-10T19:08:00+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268444933:LOC;TOURCOING CENTRE/LILLE FLANDRES/2022-03-10T19:08:00.000+01:00
TRANSPOLE:StopPointRef:BP:1837:LOC;LILLE FLANDRES;TRAM;TOURCOING CENTRE;2022-03-10T19:18:25+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268441594:LOC;TOURCOING CENTRE/LILLE FLANDRES/2022-03-10T19:18:25.000+01:00
TRANSPOLE:StopPointRef:BP:3226:LOC;MA CAMPAGNE;TRAM;TOURCOING CENTRE;2022-03-10T18:54:09+01:00;2022-03-10T18:48:55+01:00;TRANSPOLE:ItemId::268439109:LOC;TOURCOING CENTRE/MA CAMPAGNE/2022-03-10T18:54:09.000+01:00
TRANSPOLE:StopPointRef:BP:3226:LOC;MA CAMPAGNE;TRAM;TOURCOING CENTRE;2022-03-10T19:03:42+01:00;2022-03-10T18:48:50+01:00;TRANSPOLE:ItemId::268442530:LOC;TOURCOING CENTRE/MA CAMPAGNE/2022-03-10T19:03:42.000+01:00
TRANSPOLE:StopPointRef:BP:3226:LOC;MA CAMPAGNE;TRAM;TOURCOING CENTRE;2022-03-10T19:13:26+01:00;2022-03-10T18:48:45+01:00;TRANSPOLE:ItemId::268440606:LOC;TOURCOING CENTRE/MA CAMPAGNE/2022-03-10T19:13:26.000+01:00
TRANSPOLE:StopPointRef:BP:2567:LOC;PONT HYDRAULIQUE;TRAM;TOURCOING CENTRE;2022-03-10T18:55:55+01:00;2022-03-10T18:48:05+01:00;TRANSPOLE:ItemId::268439110:LOC;TOURCOING CENTRE/PONT HYDRAULIQUE/2022-03-10T18:55:55.000+01:00
TRANSPOLE:StopPointRef:BP:2567:LOC;PONT HYDRAULIQUE;TRAM;TOURCOING CENTRE;2022-03-10T19:05:46+01:00;2022-03-10T18:48:20+01:00;TRANSPOLE:ItemId::268442531:LOC;TOURCOING CENTRE/PONT HYDRAULIQUE/2022-03-10T19:05:46.000+01:00
TRANSPOLE:StopPointRef:BP:2567:LOC;PONT HYDRAULIQUE;TRAM;TOURCOING CENTRE;2022-03-10T19:14:21+01:00;2022-03-10T18:48:15+01:00;TRANSPOLE:ItemId::268440607:LOC;TOURCOING CENTRE/PONT HYDRAULIQUE/2022-03-10T19:14:21.000+01:00
TRANSPOLE:StopPointRef:BP:4600:LOC;ROMARIN;TRAM;TOURCOING CENTRE;2022-03-10T18:50:26+01:00;2022-03-10T18:48:35+01:00;TRANSPOLE:ItemId::268440590:LOC;TOURCOING CENTRE/ROMARIN/2022-03-10T18:50:26.000+01:00
TRANSPOLE:StopPointRef:BP:4600:LOC;ROMARIN;TRAM;TOURCOING CENTRE;2022-03-10T19:00:15+01:00;2022-03-10T18:41:20+01:00;TRANSPOLE:ItemId::268444504:LOC;TOURCOING CENTRE/ROMARIN/2022-03-10T19:00:15.000+01:00
TRANSPOLE:StopPointRef:BP:4600:LOC;ROMARIN;TRAM;TOURCOING CENTRE;2022-03-10T19:11:14+01:00;2022-03-10T18:29:55+01:00;TRANSPOLE:ItemId::268444935:LOC;TOURCOING CENTRE/ROMARIN/2022-03-10T19:11:14.000+01:00
TRANSPOLE:StopPointRef:BP:3470:LOC;SAINT MAUR;TRAM;TOURCOING CENTRE;2022-03-10T18:53:00+01:00;2022-03-10T18:48:50+01:00;TRANSPOLE:ItemId::268440592:LOC;TOURCOING CENTRE/SAINT MAUR/2022-03-10T18:53:00.000+01:00
TRANSPOLE:StopPointRef:BP:3470:LOC;SAINT MAUR;TRAM;TOURCOING CENTRE;2022-03-10T19:02:45+01:00;2022-03-10T18:42:50+01:00;TRANSPOLE:ItemId::268444506:LOC;TOURCOING CENTRE/SAINT MAUR/2022-03-10T19:02:45.000+01:00
TRANSPOLE:StopPointRef:BP:3470:LOC;SAINT MAUR;TRAM;TOURCOING CENTRE;2022-03-10T19:13:45+01:00;2022-03-10T18:46:15+01:00;TRANSPOLE:ItemId::268444937:LOC;TOURCOING CENTRE/SAINT MAUR/2022-03-10T19:13:45.000+01:00
TRANSPOLE:StopPointRef:BP:1483:LOC;TRIEZ;TRAM;TOURCOING CENTRE;2022-03-10T18:59:28+01:00;2022-03-10T18:48:20+01:00;TRANSPOLE:ItemId::268442527:LOC;TOURCOING CENTRE/TRIEZ/2022-03-10T18:59:28.000+01:00
